Mã,Tên hàng hóa,Kho,Số lượng,Loại hàng,Ghi chú
2AQ0116,Quan Tài Nhập Khẩu An Yên Gỗ Dái Ngựa CKT2009 - Kích thước: (2.06x0.56x0.67)m,Kho Hàm Long,1,Đã mua,
2AQ0115,"Quan Tài Công Giáo Đức Giáo Hoàng - Gỗ Dỗi - Kích thước phủ bì: (1.93x0.46x0.73)m - Lọt lòng: (1.87x0.4x0.67)m. Độ dầy: thành 3cm, nắp 3cm, đáy 5cm",Kho Hàm Long,2,Đã mua,
2AQ0043,"Quan tài Victoria, Gỗ Thông - Kích thước: 2175x810x610(mm) CKT2004",Kho Hàm Long,1,Đã mua,
2AQ0110,"Quan Tài Thiêu Huyền Cung 2 - Màu vàng, bóng sáng - 1 nắp - Kích thước: (2.58 x 0.67 x 0.62)m",Kho Hàm Long,2,Đã mua,
2AQ0149,"Quan Tài Thiêu Huyền Cung 4 - Màu trắng, bóng sáng - 1 nắp - Kích thước: (2.06 x 0.67 x 0.62)m",Kho Hàm Long,1,Đã mua,
2AQ0135,Quan Tài Công Giáo Đức Giáo Hoàng Gỗ Gụ - Màu hỗ phách- Kích thước phủ bì: (1.97x0.64-0.44x0.64-0.43)m. Độ dầy: thành 3cm,Kho Hàm Long,1,Đã mua,
2AQ0027,Quan tài Gỗ Ngọc Am - Kích thước: (2 x 0.55 x 0.5)m; Thành 8cm địa 12cm thiên dầy 10cm,Kho Hàm Long,1,Đã mua,
2AQ0171,Quan tài Gỗ Ngọc Am - Kích Thước: Thành 5cm địa 8cm nắp 10cm - Phủ bì 207 rộng 62 cao 57 cm - Lọt lòng ...[...],Kho Hàm Long,1,Đã mua,260232
2AQ0061,"Quan tài Gỗ Trai - Cẩn - Kích Thước: (2,2 x 0,80 x 1,15)m; Thành 5cm",Kho Hàm Long,1,Ký gửi,
2AQ0050,"Quan tài Gỗ Hương Việt Nam Nắp Sen - Kích Thước: (1,96 x 0,70 x 1,33)m; Thành 6cm",Kho Hàm Long,1,Ký gửi,
2AQ0104,"Quan tài Gỗ Ngọc Am - Kích thước phủ bì: (2.3x0.86x0.86)m - Lọt lòng: (1.78x0.5x0.5)m. Thành 15cm, đáy 15cm, nắp 15cm",Kho Hàm Long,1,Ký gửi,của khách gửi
2AQ0090,"Quan tài Thiêu Trung - NÂU - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,80 x 0,95)m",Kho Hàm Long,1,Ký gửi,đã cọc
2AQ0014,"Quan Tài Thiêu Trung - Nâu Cẩn - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,68 x 0,9)m",Kho Hàm Long,3,Ký gửi,
2AQ0015,"Quan Tài Thiêu Trung - Vàng - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,68 x 0,9)m",Kho Hàm Long,2,Ký gửi,
2AQ0013,"Quan Tài Thiêu Trung - Trắng - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,68 x 0,9)m",Kho Hàm Long,1,Ký gửi,
2AQ0012,"Quan Tài Thiêu Nhí_Nâu - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,67 x 0,79)m",Kho Hàm Long,5,Ký gửi,2 cái đã đặt cọc
2AQ0011,"Quan Tài Thiêu Nhí_Vàng - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,67 x 0,79)m",Kho Hàm Long,0,Ký gửi,
2AQ0010,"Quan Tài Thiêu Nhí_Trắng - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,67 x 0,79)m",Kho Hàm Long,4,Ký gửi,2 chúa / 2 trơn
2AQ0106,"Quan tài Thiêu 2 Nắp - Nâu - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Hàm Long,2,Ký gửi,
2AQ0107,"Quan tài Thiêu 2 Nắp - Vàng - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Hàm Long,1,Ký gửi,
2AQ0109,"Quan tài Thiêu 2 Nắp - Trắng - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m Công giáo",Kho Hàm Long,1,Ký gửi,
2AQ0126,Quan Tài Gỗ Xà Cừ - Chạm Phật Giáo - KT (210x80x120)cm; Thành 3-4cm,Kho Kha Vạn Cân,0,Đã mua,bảo hành
2AQ0132,"Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Cối Nắp Cuối - KT (220x80x130)cm; Thành 5cm, liệt 12cm",Kho Kha Vạn Cân,1,Đã mua,
2AQ0133,"Quan Tài Gỗ Lim Nam Phi - Cối Nắp Tròn - KT (220x80x130)cm; Thành 5cm, liệt 12cm",Kho Kha Vạn Cân,2,Đã mua,
2AQ0134,"Quan Tài Gỗ Hương Huyết - Cối Nắp Tròn - KT Nắp cao 46cm, thùng 65.5cm, dài 193cm, ngang 66cm; Thành 5cm, liệt 12cm",Kho Kha Vạn Cân,1,Đã mua,
2AQ0139,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Chạm Chúa - KT (210x79x120)cm; Thành 4-5cm,Kho Kha Vạn Cân,1,Đã mua,
2AQ0131,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Chạm Rồng - KT (210x79x120)cm; Thành 4-5cm,Kho Kha Vạn Cân,0,Đã mua,
2AQ0125,Quan Tài Gỗ Xà Cừ - Chạm Công Giáo - KT (210x80x120)cm; Thành 4-5cm,Kho Kha Vạn Cân,0,Đã mua,bảo hành
2AQ0127,Quan Tài Gỗ Xà Cừ - Cối Nắp Tròn- KT (220x80x130)cm; Thành 5cm,Kho Kha Vạn Cân,1,Đã mua,
2AQ0104,"Quan tài Gỗ Ngọc Am - Kích thước phủ bì: (2.3x0.86x0.86)m - Lọt lòng: (1.78x0.5x0.5)m. Thành 15cm, đáy 15cm, nắp 15cm",Kho Kha Vạn Cân,2,Đã mua,
2AQ0116,Quan Tài Nhập Khẩu An Yên Gỗ Dái Ngựa CKT2009 - Kích thước: (2.06x0.56x0.67)m,Kho Kha Vạn Cân,1,Đã mua,
2AQ0040,"Quan Tài Whitsunday, Gỗ Thông - Kích thước: 2160x810x610(mm) CKT2008",Kho Kha Vạn Cân,1,Đã mua,
2AQ0135,Quan Tài Công Giáo Đức Giáo Hoàng Gỗ Gụ - Màu hỗ phách- Kích thước phủ bì: (1.97x0.64-0.44x0.64-0.43)m. Độ dầy: thành 3cm,Kho Kha Vạn Cân,2,Đã mua,
2AQ0112,Quan Tài thiêu Huyền Cung 3 - Gỗ Công nghiệp -Đài Loan 1 nắp,Kho Kha Vạn Cân,1,Đã mua,
2AQ0061,"Quan tài Gỗ Trai - Cẩn - Kích Thước: (2,2 x 0,80 x 1,15)m; Thành 5cm",Kho Kha Vạn Cân,,Đã mua,
2AQ0136,Quan Tài Gỗ Gõ Ghana - Trơn - KT (2.1x0.8x1.2)m; Thành 5cm,Kho Kha Vạn Cân,1,Đã mua,
2AQ0102,"Quan Tài Gỗ Căm Xe Nhập Khẩu - Kích Thước: (2,2 x 0,80 x 1,15)m; Thành 5cm",Kho Kha Vạn Cân,,Đã mua,
2AQ0047,"Quan tài Taisho, Gỗ Sồi - Kích thước: 2150x805x260(mm) CKT201C01",Kho Kha Vạn Cân,3,Đã mua,
2AQ0148,"Quan Tài Gỗ Căm Xe Nhập Khẩu Úc_Thành 4cm - Kích Thước: (2,1 x 0,80 x 1,15)m",Kho Kha Vạn Cân,0,Đã mua,Lỗi đổi trả
2AQ0009,"Quan Tài Gỗ Hương Nhập khẩu Chạm - Kích Thước: (2 x 0,80 x 1,15)m; Thành 5cm",Kho Kha Vạn Cân,1,Đã mua,
2AQ0043,"Quan tài Victoria, Gỗ Thông - Kích thước: 2175x810x610(mm) CKT2004",Kho Kha Vạn Cân,2,Đã mua,
2AQ0046,"Quan tài William, Gỗ Tuyết Tùng - Kích thước: 2160x810x610(mm) CKT2001",Kho Kha Vạn Cân,2,Đã mua,
2AQ0039,"Quan tài Queensland, Gỗ Dương - Kích thước: 2215x780x610(mm) CKT2007",Kho Kha Vạn Cân,2,Đã mua,
2AQ0042,"Quan tài Rutherford, Gỗ Tuyết Tùng - Kích thước: 2073x686x505(mm) CKT2005",Kho Kha Vạn Cân,1,Đã mua,
2AQ0041,"Quan tài George, Gỗ Thông - Kích thước: 2160x810x550(mm) CKT2006",Kho Kha Vạn Cân,1,Đã mua,
2AQ0044,Quan Tài Calgary - nâu in lá phong - CKT2003 - Bình Yên,Kho Kha Vạn Cân,2,Đã mua,
2AQ0129,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Trơn - KT (210x80x120)cm; Thành 5cm,Kho Kha Vạn Cân,4,Đã mua,1 bị mốc
2AQ0128,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Trơn - KT (210x80x105)cm; Thành 4cm,Kho Kha Vạn Cân,4,Đã mua,
2AQ0118,Quan Tài Gỗ Lim Nam Phi - Đỏ - Trơn - KT (210x79x105)cm; Thành 4cm,Kho Kha Vạn Cân,0,Đã mua,
2AQ0119,Quan Tài Gỗ Lim Nam Phi - Đỏ - Trơn - KT (210x80x115)cm; Thành 5cm,Kho Kha Vạn Cân,6,Đã mua,
2AQ0137,Quan Tài Gỗ Lim Nam Phi - Xanh - Trơn - KT (210x80x115)cm; Thành 5cm,Kho Kha Vạn Cân,0,Đã mua,
2AQ0100,"Quan tài Gỗ Ngọc Am - Kích Thước: (2,20 x 0,74 x 0,67)m; Lọt lòng 0.48 m; Thành 10cm, địa 10cm, tấm thiên dầy 12cm",Kho Kha Vạn Cân,3,Đã mua,
2AQ0064,"Quan tài Gỗ Trai Chạm (Phật giáo) - Kích Thước: (2,2 x 0,80 x 1,15)m; Thành 5cm",Kho Kha Vạn Cân,0,Đã mua,
2AQ0124,Quan Tài Gỗ Xà Cừ - Trơn - KT (210x79x105cm ; Thành 4cm,Kho Kha Vạn Cân,0,Đã mua,bảo hành
2AQ0163,"Quan Tài Gỗ Căm Xe KAW_Thành 4cm - Kích Thước: (2,1 x 0,80 x 0.95)m",Kho Kha Vạn Cân,5,Đã mua,
2AQ0165,Quan tài gỗ Căm Xe WPL - Cẩn - KT (2.1x0.8x1.15)m; Thành 4cm,Kho Kha Vạn Cân,2,Đã mua,
2AQ0168,"Quan Tài Gỗ Căm Xe KAW_Thành 5cm -(2,1 x 0,80 x 1.15)m",Kho Kha Vạn Cân,4,Đã mua,
2AQ0105,Quan tài XÀ CỪ cẩn đồng quê 5P,Kho Kha Vạn Cân,1,Đã mua,Lỗi nứt
2AQ0064,Quan tài Trai - Đài Loan - Chạm rồng 5P,Kho Kha Vạn Cân,3,Đã mua,
2AQ0075,Căm Xe 5P - Đỏ - Chạm rồng 210x80x120,Kho Kha Vạn Cân,2,Đã mua,xấu
2AQ0172,Quan tài gỗ Đinh Hương( Hương công gô) 4P - Trơn,Kho Kha Vạn Cân,1,Đã mua,
2AQ0173,Quan tài gỗ Đinh Hương( Hương công gô) 5P - Trơn+,Kho Kha Vạn Cân,1,Đã mua,
2AQ0174,Quan tài gỗ Sao Nghệ (gõ vàng) Nắp tròn - Trơn - 6P - liệt 14cm,Kho Kha Vạn Cân,2,Đã mua,
2AQ0010,Hòm THIÊU NHÍ (TRẮNG) – GỖ CÔNG NGHIỆP - ĐÀI LOAN - 1 NẮP,Kho Kha Vạn Cân,2,Ký gửi,2 chúa / 1 trơn
2AQ0011,Hòm THIÊU NHÍ (VÀNG) – GỖ CÔNG NGHIỆP - ĐÀI LOAN - TAY NẮM TRƠN- 1 NẮP,Kho Kha Vạn Cân,5,Ký gửi,
2AQ0012,Hòm THIÊU NHÍ (NÂU) – GỖ CÔNG NGHIỆP – ĐÀI LOAN - TAY NẮM TRƠN – 1 NẮP,Kho Kha Vạn Cân,1,Ký gửi,
2AQ0106,"Quan tài Thiêu 2 Nắp - Nâu - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Kha Vạn Cân,3,Ký gửi,
2AQ0107,"Quan tài Thiêu 2 Nắp - Vàng - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Kha Vạn Cân,,Ký gửi,
2AQ0108,"Quan tài Thiêu 2 Nắp - Trắng - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Kha Vạn Cân,,Ký gửi,
2AQ0014,"Quan Tài Thiêu Trung - Nâu Cẩn - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,68 x 0,9)m",Kho Kha Vạn Cân,1,Ký gửi,
2AQ0015,"Quan Tài Thiêu Trung - Vàng - Gỗ Công Nghiệp - Kích Thước: (2,05 x 0,68 x 0,9)m",Kho Kha Vạn Cân,,Ký gửi,
2AQ0046,"Quan tài William, Gỗ Tuyết Tùng - Kích thước: 2160x810x610(mm) CKT2001",Kho Kinh Dương Vương,2,Đã mua,mới nhập 1 cái
2AQ0043,"Quan tài Victoria, Gỗ Thông - Kích thước: 2175x810x610(mm) CKT2004",Kho Kinh Dương Vương,1,Đã mua,
2AQ0039,"Quan tài Queensland, Gỗ Dương - Kích thước: 2215x780x610(mm) CKT2007",Kho Kinh Dương Vương,1,Đã mua,
2AQ0044,"Quan tài Calgary, Gỗ Dương - Kích thước: 2175x810x610(mm) CKT2003",Kho Kinh Dương Vương,1,Đã mua,mới nhập 1 cái
2AQ0111,"Quan Tài Thiêu Huyền Cung 1 - Màu chery, bóng sáng - 1 nắp - Kích thước: (2.58 x 0.67 x 0.62)m",Kho Kinh Dương Vương,0,Đã mua,
2AQ0112,"Quan Tài Thiêu Huyền Cung 3 - Màu óc chó đậm, bóng sáng - 1 nắp - Kích thước: (2.58 x 0.67 x 0.62)m",Kho Kinh Dương Vương,1,Đã mua,
2AQ0100,"Quan tài Gỗ Ngọc Am chạm hoa văn - Kích Thước: (2,20 x 0,74 x 0,67)m; Lọt lòng 0.48 m; Thành 10cm, địa 10cm, tấm thiên dầy 12cm",Kho Kinh Dương Vương,1,Đã mua,đám 260377 cọc
2AQ0100,"Quan tài Gỗ Ngọc Am - Kích Thước: (2,20 x 0,74 x 0,67)m; Lọt lòng 0.48 m; Thành 10cm, địa 10cm, tấm thiên dầy 12cm",Kho Kinh Dương Vương,1,Đã mua,
2AQ0118,Quan Tài Gỗ Lim Nam Phi - Xanh - Trơn - KT (210x79x105)cm; Thành 4cm,Kho Kinh Dương Vương,1,Đã mua,đám 260350 cọc
2AQ0128,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Trơn - KT (210x80x105)cm; Thành 4cm,Kho Kinh Dương Vương,3,Đã mua,
2AQ0129,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Trơn - KT (210x80x120)cm; Thành 5cm,Kho Kinh Dương Vương,1,Đã mua,
2AQ0157,Quan Tài Gỗ Sao Nghệ (Gõ Vàng) - Chạm Rồng - KT (210x79x120)cm; Thành 3-4cm,Kho Kinh Dương Vương,1,Đã mua,
2AQ0064,"Quan tài Gỗ Trai Chạm (Phật giáo) - Kích Thước: (2,2 x 0,80 x 1,15)m; Thành 5cm",Kho Kinh Dương Vương,1,Đã mua,
2AQ0119,Quan Tài Gỗ Lim Nam Phi - Đỏ - Trơn - KT (210x80x115)cm; Thành 5cm,Kho Kinh Dương Vương,4,Đã mua,tồn có 1
2AQ0163,"Quan Tài Gỗ Căm Xe KAW_Thành 4cm - Kích Thước: (2,1 x 0,80 x 0.95)m",Kho Kinh Dương Vương,4,Đã mua,tồn có 3
2AQ0168,"Quan Tài Gỗ Căm Xe KAW_Thành 5cm - Kích Thước: (2,1 x 0,80 x 1.15)m",Kho Kinh Dương Vương,2,Đã mua,tồn có 1
2AQ0010,Hòm THIÊU NHÍ (TRẮNG) – GỖ CÔNG NGHIỆP - ĐÀI LOAN - 1 NẮP,Kho Kinh Dương Vương,1,Đã mua,
2AQ0012,Hòm THIÊU NHÍ (NÂU) – GỖ CÔNG NGHIỆP – ĐÀI LOAN - TAY NẮM TRƠN – 1 NẮP,Kho Kinh Dương Vương,2,Đã mua,
2AQ0011,Hòm THIÊU NHÍ (VÀNG) – GỖ CÔNG NGHIỆP - ĐÀI LOAN - TAY NẮM TRƠN- 1 NẮP,Kho Kinh Dương Vương,2,Đã mua,
2AQ0135,Quan Tài Công Giáo Đức Giáo Hoàng Gỗ Gụ - Màu hỗ phách- Kích thước phủ bì: (1.97x0.64-0.44x0.64-0.43)m. Độ dầy: thành 3cm,Kho Kinh Dương Vương,2,Đã mua,
2AQ0106,"Quan tài Thiêu 2 Nắp - Nâu - Gỗ công nghiệp - Kích thước: (2,03x0,65x0,74)m",Kho Kinh Dương Vương,1,Đã mua,
2AQ0124,Quan tài Gỗ Xà Cừ 4P,Kho Kinh Dương Vương,0,Đã mua,
